Selected Redman 2013 ThAr lines.  Vacuum lam from energy levels.
lambda(nm)    Bright  dlambda(nm)
 428.4723590    680.  0.0000060
 428.7434410    770.  0.0000030
 428.9875450   1400.  0.0000050
 429.0861910    620.  0.0000030
 429.3017290   1800.  0.0000025
 429.5927430    490.  0.0000060
 429.6793360    510.  0.0000040
 429.8515420   2000.  0.0000030
 430.0844666    830.  0.0000021
 430.1048820   2200.  0.0000040
 430.6167320    500.  0.0000030
 430.8387570   3800.  0.0000030
 430.9333660   1700.  0.0000040
 430.9812050    630.  0.0000050
 431.1099090   1200.  0.0000030
 431.1204770   1100.  0.0000090
 431.3012300   1400.  0.0000040
 431.4211038   9700.  0.0000012
 431.5532860    940.  0.0000040
 431.6467861   4300.  0.0000019
 431.9630250   1800.  0.0000080
 432.1341270   1400.  0.0000040
 432.6490360    930.  0.0000040
 433.0132510   3400.  0.0000006
 433.2061510   2100.  0.0000030
 433.2562670    640.  0.0000030
 433.6952130    750.  0.0000050
 433.8496678   5700.  0.0000008
 433.9327320   1100.  0.0000040
 434.2115700   1500.  0.0000040
 434.3664866   3800.  0.0000023
 434.5172620    720.  0.0000030
 434.5547790   1600.  0.0000060
 434.7658480   2100.  0.0000050
 434.9820630    670.  0.0000120
 435.0294653   2700.  0.0000013
 435.3835573    680.  0.0000025
 435.4672258   2700.  0.0000023
 435.5706400    640.  0.0000050
 435.8838000    420.  0.0000040
 435.9544990   1200.  0.0000030
 436.0597110   1500.  0.0000040
 436.7156970   3800.  0.0000030
 437.0722640    620.  0.0000030
 437.1103643   2300.  0.0000009
 437.5240790    900.  0.0000030
 437.5352901  10000.  0.0000007
 437.6014340   1400.  0.0000070
 437.9406984   6800.  0.0000013
 438.2632740    980.  0.0000080
 438.3091240   5000.  0.0000030
 438.5887870    740.  0.0000030
 438.8966790    770.  0.0000030
 438.9069590    820.  0.0000060
 439.2344060   6100.  0.0000030
 439.4208034   1800.  0.0000018
 439.4993260    670.  0.0000040
 439.9150290    620.  0.0000050
 440.1204690    720.  0.0000023
 440.2817478   2500.  0.0000014
 440.4163768   5200.  0.0000017
 440.9720810    520.  0.0000030
 441.0121043  10000.  0.0000012
 441.3807590    560.  0.0000100
 441.3978570   1300.  0.0000040
 441.4132230    620.  0.0000040
 441.5726090   2100.  0.0000030
 441.7477120    460.  0.0000070
 441.8085160   1000.  0.0000050
 442.3289660    920.  0.0000040
 442.4962380    670.  0.0000040
 442.6079770    540.  0.0000060
 443.3496710    940.  0.0000030
 443.4207370   1700.  0.0000060
 443.9992448    790.  0.0000022
 444.0369860    590.  0.0000060
 444.1521110    670.  0.0000040
 444.1599898   1000.  0.0000022
 444.1820280    710.  0.0000060
